TRDTYPE,USASTATE,YEAR,MONTH,month_seq,COUNTRY,DISAGMOT,impact,VALUE
1.0,13,2010,6,0,2.0,2.0,258287.0,13387260.0
1.0,13,2010,6,0,2.0,1.0,258287.0,109052139.0
2.0,13,2010,6,0,2.0,2.0,258287.0,6551986.0
2.0,13,2010,6,0,2.0,1.0,258287.0,280704003.0
1.0,15,2010,6,0,1.0,2.0,746749.0,1448729.0
1.0,15,2010,6,0,1.0,1.0,746749.0,461556.0
2.0,15,2010,6,0,1.0,2.0,746749.0,1756455.0
2.0,15,2010,6,0,1.0,1.0,746749.0,9785020.0
1.0,15,2010,6,0,2.0,2.0,746749.0,11011.0
1.0,15,2010,6,0,2.0,1.0,746749.0,64891.0
2.0,15,2010,6,0,2.0,2.0,746749.0,188889.0
2.0,15,2010,6,0,2.0,1.0,746749.0,2649.0
1.0,19,2010,6,0,1.0,2.0,96484814.0,13454872.0
1.0,19,2010,6,0,1.0,1.0,96484814.0,216714689.0
2.0,19,2010,6,0,1.0,2.0,96484814.0,2317330.0
2.0,19,2010,6,0,1.0,1.0,96484814.0,120568859.0
1.0,19,2010,6,0,2.0,2.0,96484814.0,1095050.0
1.0,19,2010,6,0,2.0,1.0,96484814.0,52878480.0
2.0,19,2010,6,0,2.0,2.0,96484814.0,1003766.0
2.0,19,2010,6,0,2.0,1.0,96484814.0,89170151.0
1.0,16,2010,6,0,1.0,2.0,2531739.0,4531390.0
1.0,16,2010,6,0,1.0,1.0,2531739.0,81143699.0
2.0,16,2010,6,0,1.0,2.0,2531739.0,1535497.0
2.0,16,2010,6,0,1.0,1.0,2531739.0,36391779.0
1.0,16,2010,6,0,2.0,2.0,2531739.0,2382441.0
1.0,16,2010,6,0,2.0,1.0,2531739.0,6570246.0
2.0,16,2010,6,0,2.0,2.0,2531739.0,46079.0
2.0,16,2010,6,0,2.0,1.0,2531739.0,11048817.0
1.0,17,2010,6,0,1.0,2.0,971055824.0,75735621.0
1.0,17,2010,6,0,1.0,1.0,971055824.0,1068155535.0
2.0,17,2010,6,0,1.0,2.0,971055824.0,24517871.0
2.0,17,2010,6,0,1.0,1.0,971055824.0,536012731.0
1.0,17,2010,6,0,2.0,2.0,971055824.0,17891914.0
1.0,17,2010,6,0,2.0,1.0,971055824.0,282929941.0
2.0,17,2010,6,0,2.0,2.0,971055824.0,26884056.0
2.0,17,2010,6,0,2.0,1.0,971055824.0,407731085.0
1.0,18,2010,6,0,1.0,2.0,275527137.0,33181714.0
1.0,18,2010,6,0,1.0,1.0,275527137.0,789744820.0
2.0,18,2010,6,0,1.0,2.0,275527137.0,5375961.0
2.0,18,2010,6,0,1.0,1.0,275527137.0,353481931.0
1.0,18,2010,6,0,2.0,2.0,275527137.0,16192628.0
1.0,18,2010,6,0,2.0,1.0,275527137.0,112963484.0
2.0,18,2010,6,0,2.0,2.0,275527137.0,6309303.0
2.0,18,2010,6,0,2.0,1.0,275527137.0,249398842.0
1.0,20,2010,6,0,1.0,2.0,114955649.0,22017313.0
1.0,20,2010,6,0,1.0,1.0,114955649.0,116347872.0
2.0,20,2010,6,0,1.0,2.0,114955649.0,12016844.0
2.0,20,2010,6,0,1.0,1.0,114955649.0,117684881.0
1.0,20,2010,6,0,2.0,2.0,114955649.0,13062264.0
1.0,20,2010,6,0,2.0,1.0,114955649.0,43526903.0
2.0,20,2010,6,0,2.0,2.0,114955649.0,2430301.0
2.0,20,2010,6,0,2.0,1.0,114955649.0,51272492.0
1.0,21,2010,6,0,1.0,2.0,4405461.0,26954206.0
1.0,21,2010,6,0,1.0,1.0,4405461.0,439991214.0
2.0,21,2010,6,0,1.0,2.0,4405461.0,19318099.0
2.0,21,2010,6,0,1.0,1.0,4405461.0,212801699.0
1.0,21,2010,6,0,2.0,2.0,4405461.0,13379561.0
1.0,21,2010,6,0,2.0,1.0,4405461.0,76214693.0
2.0,21,2010,6,0,2.0,2.0,4405461.0,5857390.0
2.0,21,2010,6,0,2.0,1.0,4405461.0,215314816.0
1.0,22,2010,6,0,1.0,2.0,30374737.0,2964670.0
1.0,22,2010,6,0,1.0,1.0,30374737.0,49712343.0
2.0,22,2010,6,0,1.0,2.0,30374737.0,4591233.0
2.0,22,2010,6,0,1.0,1.0,30374737.0,62010378.0
1.0,22,2010,6,0,2.0,2.0,30374737.0,3494128.0
1.0,22,2010,6,0,2.0,1.0,30374737.0,34586257.0
2.0,22,2010,6,0,2.0,2.0,30374737.0,630318.0
2.0,22,2010,6,0,2.0,1.0,30374737.0,11534206.0
1.0,25,2010,6,0,1.0,2.0,109901483.0,46443390.0
1.0,25,2010,6,0,1.0,1.0,109901483.0,248573070.0
2.0,25,2010,6,0,1.0,2.0,109901483.0,23837131.0
2.0,25,2010,6,0,1.0,1.0,109901483.0,410511482.0
1.0,25,2010,6,0,2.0,2.0,109901483.0,13922429.0
1.0,25,2010,6,0,2.0,1.0,109901483.0,96207289.0
2.0,25,2010,6,0,2.0,2.0,109901483.0,63917901.0
2.0,25,2010,6,0,2.0,1.0,109901483.0,189345276.0
1.0,24,2010,6,0,1.0,2.0,126077540.0,14579341.0
1.0,24,2010,6,0,1.0,1.0,126077540.0,103613788.0
2.0,24,2010,6,0,1.0,2.0,126077540.0,5446564.0
2.0,24,2010,6,0,1.0,1.0,126077540.0,121424527.0
1.0,24,2010,6,0,2.0,2.0,126077540.0,5092969.0
1.0,24,2010,6,0,2.0,1.0,126077540.0,19936127.0
2.0,24,2010,6,0,2.0,2.0,126077540.0,1558320.0
2.0,24,2010,6,0,2.0,1.0,126077540.0,65163697.0
1.0,23,2010,6,0,1.0,2.0,26796909.0,1021997.0
1.0,23,2010,6,0,1.0,1.0,26796909.0,58558233.0
2.0,23,2010,6,0,1.0,2.0,26796909.0,562645.0
2.0,23,2010,6,0,1.0,1.0,26796909.0,90463634.0
1.0,23,2010,6,0,2.0,2.0,26796909.0,170925.0
1.0,23,2010,6,0,2.0,1.0,26796909.0,2420379.0
2.0,23,2010,6,0,2.0,2.0,26796909.0,216117.0
2.0,23,2010,6,0,2.0,1.0,26796909.0,4720694.0
1.0,26,2010,6,0,1.0,2.0,1175630655.0,26938381.0
1.0,26,2010,6,0,1.0,1.0,1175630655.0,1671936378.0
2.0,26,2010,6,0,1.0,2.0,1175630655.0,23162982.0
2.0,26,2010,6,0,1.0,1.0,1175630655.0,2256081134.0
1.0,26,2010,6,0,2.0,2.0,1175630655.0,10601180.0
1.0,26,2010,6,0,2.0,1.0,1175630655.0,382159832.0
2.0,26,2010,6,0,2.0,2.0,1175630655.0,22503164.0
2.0,26,2010,6,0,2.0,1.0,1175630655.0,743244909.0
1.0,27,2010,6,0,1.0,2.0,351028811.0,32216157.0
1.0,27,2010,6,0,1.0,1.0,351028811.0,298287231.0
2.0,27,2010,6,0,1.0,2.0,351028811.0,9316498.0
2.0,27,2010,6,0,1.0,1.0,351028811.0,160423102.0
1.0,27,2010,6,0,2.0,2.0,351028811.0,6081241.0
1.0,27,2010,6,0,2.0,1.0,351028811.0,52898144.0
2.0,27,2010,6,0,2.0,2.0,351028811.0,4658735.0
2.0,27,2010,6,0,2.0,1.0,351028811.0,141720239.0
1.0,29,2010,6,0,1.0,2.0,160370744.0,6885541.0
1.0,29,2010,6,0,1.0,1.0,160370744.0,285482855.0
2.0,29,2010,6,0,1.0,2.0,160370744.0,4108253.0
2.0,29,2010,6,0,1.0,1.0,160370744.0,128979012.0
1.0,29,2010,6,0,2.0,2.0,160370744.0,2975757.0
1.0,29,2010,6,0,2.0,1.0,160370744.0,66457966.0
2.0,29,2010,6,0,2.0,2.0,160370744.0,1267125.0
2.0,29,2010,6,0,2.0,1.0,160370744.0,239816220.0
1.0,28,2010,6,0,1.0,2.0,4122514.0,10742454.0
1.0,28,2010,6,0,1.0,1.0,4122514.0,77286062.0
2.0,28,2010,6,0,1.0,2.0,4122514.0,5006257.0
2.0,28,2010,6,0,1.0,1.0,4122514.0,39071291.0
1.0,28,2010,6,0,2.0,2.0,4122514.0,6786732.0
1.0,28,2010,6,0,2.0,1.0,4122514.0,21248427.0
2.0,28,2010,6,0,2.0,2.0,4122514.0,2443571.0
2.0,28,2010,6,0,2.0,1.0,4122514.0,40592131.0
1.0,30,2010,6,0,1.0,2.0,1781304.0,3477382.0
1.0,30,2010,6,0,1.0,1.0,1781304.0,27026029.0
2.0,30,2010,6,0,1.0,2.0,1781304.0,1825221.0
2.0,30,2010,6,0,1.0,1.0,1781304.0,40822516.0
1.0,30,2010,6,0,2.0,2.0,1781304.0,14992.0
1.0,30,2010,6,0,2.0,1.0,1781304.0,1225309.0
2.0,30,2010,6,0,2.0,2.0,1781304.0,101420.0
2.0,30,2010,6,0,2.0,1.0,1781304.0,479560.0
1.0,37,2010,6,0,1.0,2.0,10137938.0,26938027.0
1.0,37,2010,6,0,1.0,1.0,10137938.0,405348543.0
2.0,37,2010,6,0,1.0,2.0,10137938.0,17210645.0
2.0,37,2010,6,0,1.0,1.0,10137938.0,201138510.0
1.0,37,2010,6,0,2.0,2.0,10137938.0,12054028.0
1.0,37,2010,6,0,2.0,1.0,10137938.0,118170314.0
2.0,37,2010,6,0,2.0,2.0,10137938.0,35941589.0
2.0,37,2010,6,0,2.0,1.0,10137938.0,341836345.0
1.0,38,2010,6,0,1.0,2.0,16627800.0,1208546.0
1.0,38,2010,6,0,1.0,1.0,16627800.0,100017016.0
2.0,38,2010,6,0,1.0,2.0,16627800.0,575988.0
2.0,38,2010,6,0,1.0,1.0,16627800.0,131149611.0
1.0,38,2010,6,0,2.0,2.0,16627800.0,106197.0
1.0,38,2010,6,0,2.0,1.0,16627800.0,2074919.0
2.0,38,2010,6,0,2.0,2.0,16627800.0,308491.0
2.0,38,2010,6,0,2.0,1.0,16627800.0,3488682.0
1.0,31,2010,6,0,1.0,2.0,31172513.0,3761738.0
1.0,31,2010,6,0,1.0,1.0,31172513.0,111115361.0
2.0,31,2010,6,0,1.0,2.0,31172513.0,2072616.0
2.0,31,2010,6,0,1.0,1.0,31172513.0,49696605.0
1.0,31,2010,6,0,2.0,2.0,31172513.0,783103.0
1.0,31,2010,6,0,2.0,1.0,31172513.0,24544183.0
2.0,31,2010,6,0,2.0,2.0,31172513.0,518872.0
2.0,31,2010,6,0,2.0,1.0,31172513.0,25616126.0
1.0,33,2010,6,0,1.0,2.0,14825936.0,6524816.0
1.0,33,2010,6,0,1.0,1.0,14825936.0,38540752.0
2.0,33,2010,6,0,1.0,2.0,14825936.0,3628587.0
2.0,33,2010,6,0,1.0,1.0,14825936.0,68158263.0
1.0,33,2010,6,0,2.0,2.0,14825936.0,1252200.0
1.0,33,2010,6,0,2.0,1.0,14825936.0,84291939.0
2.0,33,2010,6,0,2.0,2.0,14825936.0,5093819.0
2.0,33,2010,6,0,2.0,1.0,14825936.0,50422049.0
1.0,34,2010,6,0,1.0,2.0,150194372.0,46934766.0
1.0,34,2010,6,0,1.0,1.0,150194372.0,437299555.0
2.0,34,2010,6,0,1.0,2.0,150194372.0,36655872.0
2.0,34,2010,6,0,1.0,1.0,150194372.0,271457183.0
1.0,34,2010,6,0,2.0,2.0,150194372.0,8669930.0
1.0,34,2010,6,0,2.0,1.0,150194372.0,114626140.0
2.0,34,2010,6,0,2.0,2.0,150194372.0,21544266.0
2.0,34,2010,6,0,2.0,1.0,150194372.0,206657422.0
1.0,35,2010,6,0,1.0,2.0,13203530.0,1600752.0
1.0,35,2010,6,0,1.0,1.0,13203530.0,11471110.0
2.0,35,2010,6,0,1.0,2.0,13203530.0,881497.0
2.0,35,2010,6,0,1.0,1.0,13203530.0,9656207.0
1.0,35,2010,6,0,2.0,2.0,13203530.0,475428.0
1.0,35,2010,6,0,2.0,1.0,13203530.0,32983739.0
2.0,35,2010,6,0,2.0,2.0,13203530.0,351603.0
2.0,35,2010,6,0,2.0,1.0,13203530.0,48119667.0
1.0,32,2010,6,0,1.0,2.0,6975.0,11426231.0
1.0,32,2010,6,0,1.0,1.0,6975.0,39064366.0
2.0,32,2010,6,0,1.0,2.0,6975.0,2510131.0
2.0,32,2010,6,0,1.0,1.0,6975.0,31904604.0
1.0,32,2010,6,0,2.0,2.0,6975.0,25736438.0
1.0,32,2010,6,0,2.0,1.0,6975.0,10737106.0
2.0,32,2010,6,0,2.0,2.0,6975.0,1180948.0
2.0,32,2010,6,0,2.0,1.0,6975.0,24664165.0
1.0,36,2010,6,0,1.0,2.0,437169001.0,148645380.0
1.0,36,2010,6,0,1.0,1.0,437169001.0,1124052669.0
2.0,36,2010,6,0,1.0,2.0,437169001.0,182736660.0
2.0,36,2010,6,0,1.0,1.0,437169001.0,1065065151.0
1.0,36,2010,6,0,2.0,2.0,437169001.0,52791369.0
1.0,36,2010,6,0,2.0,1.0,437169001.0,126874954.0
2.0,36,2010,6,0,2.0,2.0,437169001.0,35751950.0
2.0,36,2010,6,0,2.0,1.0,437169001.0,237770341.0
1.0,39,2010,6,0,1.0,2.0,491118988.0,42642952.0
1.0,39,2010,6,0,1.0,1.0,491118988.0,1294381626.0
2.0,39,2010,6,0,1.0,2.0,491118988.0,25941584.0
2.0,39,2010,6,0,1.0,1.0,491118988.0,672638771.0
1.0,39,2010,6,0,2.0,2.0,491118988.0,16119202.0
1.0,39,2010,6,0,2.0,1.0,491118988.0,214464000.0
2.0,39,2010,6,0,2.0,2.0,491118988.0,18116277.0
2.0,39,2010,6,0,2.0,1.0,491118988.0,420441317.0
